season,week,season_type,game_id,player_id,team,opponent_team,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,pt_att,pt_yards,pt_net_yards,pt_long,pt_blocked,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,ingest_run_id
2026,1,REG,2026_01_ATL_PIT,00-0023459,PIT,ATL,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0025565,ATL,PIT,2,4,2,0,51,0.5,0,0,0,1,1,0,0,0,0,1,1,0,94.0,99.0,0.0,0,0,0,0,0.0,1,1,0,0,1.0,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0026190,BAL,IND,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0026498,LA,SF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0027969,PIT,ATL,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0029604,LV,MIA,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029606,MIN,GB,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0029607,NYJ,TEN,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0029692,DAL,NYG,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,2,96,96,50,0,2,0,0,0,2,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029714,MIN,GB,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0030092,CAR,CHI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,3,147,104,61,0,0,1,0,1,0,1,23,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0030140,WAS,PHI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,6,318,261,60,0,0,0,0,1,1,4,37,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0030279,IND,BAL,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0030294,LAC,ARI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0030506,KC,DEN,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0030565,NYJ,TEN,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0031040,LAC,ARI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031136,PIT,ATL,2,3,1,0,43,0.666666666666667,0,1,0,1,0,0,0,0,0,0,1,0,71.0,56.0,0.0,0,0,0,0,0.0,2,2,0,0,1.0,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031203,CHI,CAR,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40.0,0.0,0.0,0,0,0,0,0.0,8,8,0,0,1.0,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031279,ATL,PIT,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031330,NE,SEA,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0031360,MIN,GB,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031364,HOU,BUF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031381,LA,SF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031408,SF,LA,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031411,SEA,NE,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031492,SEA,NE,2,2,0,0,30,1.0,0,1,1,0,0,0,0,0,0,0,0,0,56.0,0.0,0.0,0,0,0,0,0.0,1,1,0,0,1.0,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031565,HOU,BUF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031576,ATL,PIT,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031583,CHI,CAR,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0031588,WAS,PHI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031610,CAR,CHI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0031898,DEN,KC,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031933,SEA,NE,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0031957,TB,CIN,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0032065,MIA,LV,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,4,183,148,59,0,2,0,0,0,2,2,35,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032071,HOU,BUF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0032104,JAX,CLE,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0032146,LAC,ARI,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0032164,JAX,CLE,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,20260925T013701Z
